event_id,event_timestamp,event_type,business_domain,region,related_entity_id,operational_cost,revenue_impact,governance_risk_level,business_impact_hours,event_status
EVT0000084,2022-05-23,work_order_completed,Operations,Southwest,ENT94111,26332.17,0,High,9.3,Delayed
EVT0000085,2022-05-23,invoice_processed,Finance,Northwest,ENT79088,755.93,65579.02,Low,0.5,Completed
EVT0000086,2022-05-23,invoice_processed,Finance,Northeast,ENT69543,1092.06,44245.15,Low,0.7,Completed
EVT0000087,2022-05-23,invoice_processed,Finance,Northwest,ENT95438,731.41,17970.38,Low,1.3,Completed
EVT0000088,2022-05-23,asset_maintenance_completed,Asset Management,Southeast,ENT82534,7633.7,0,Low,3.3,Completed
EVT0000089,2022-05-24,invoice_processed,Finance,Southwest,ENT32322,642.9,82203.54,Low,0.6,Completed
EVT0000090,2022-05-24,invoice_processed,Finance,Northeast,ENT09525,1426.34,53537.59,Low,0.3,Completed
EVT0000091,2022-05-24,invoice_processed,Finance,Northeast,ENT57232,1127.25,61470.19,Low,0.2,Completed
EVT0000092,2022-05-24,invoice_processed,Finance,Southwest,ENT56960,187.37,17492.98,Low,0.4,Reversed
EVT0000093,2022-05-24,invoice_processed,Finance,Southeast,ENT21245,1186.57,57115.95,Low,1.1,Completed
EVT0000094,2022-05-24,asset_maintenance_completed,Asset Management,Northwest,ENT48843,25007.85,0,Medium,7.5,Completed
EVT0000095,2022-05-24,asset_maintenance_completed,Asset Management,Southwest,ENT39975,35469.83,0,High,10.5,Open
EVT0000096,2022-05-24,invoice_processed,Finance,Northwest,ENT34826,2384.36,12448.3,Low,1.4,Completed
EVT0000097,2022-05-25,invoice_processed,Finance,Northeast,ENT23413,308.68,31764.3,Low,0.3,Completed
EVT0000098,2022-05-25,refund_issued,Finance,Northeast,ENT76009,1320.04,-19419.71,Low,2.3,Completed
EVT0000099,2022-05-25,forecast_adjusted,FP&A,Northeast,ENT65273,395.85,4096.08,Low,0.9,Completed
EVT0000100,2022-05-25,invoice_processed,Finance,Southwest,ENT33498,2338.18,48470.81,Low,0.7,Delayed
EVT0000101,2022-05-25,invoice_processed,Finance,Southwest,ENT52957,108.78,77201.55,Low,1.0,Completed
EVT0000102,2022-05-25,work_order_completed,Operations,Northwest,ENT29106,17383.75,0,Medium,7.3,Completed
EVT0000103,2022-05-25,invoice_processed,Finance,Central,ENT07770,162.01,12021.48,Low,0.3,Open
EVT0000104,2022-05-25,invoice_processed,Finance,Southeast,ENT21740,1859.47,69438.72,Low,1.3,Completed
EVT0000105,2022-05-25,invoice_processed,Finance,Southeast,ENT77981,1606.42,21581.43,Low,0.7,Completed
EVT0000106,2022-05-25,work_order_completed,Operations,Northwest,ENT73154,12732.14,0,High,9.2,Reversed
EVT0000107,2022-05-25,work_order_completed,Operations,Southeast,ENT49922,5400.3,0,Medium,6.6,Completed
EVT0000108,2022-05-25,work_order_completed,Operations,Southeast,ENT95435,25384.78,0,Medium,5.4,Completed
EVT0000109,2022-05-26,refund_issued,Finance,Southeast,ENT05160,3769.24,-1616.21,Low,2.3,Completed
EVT0000110,2022-05-26,invoice_processed,Finance,Southeast,ENT74924,849.87,53899.74,Low,1.3,Completed
EVT0000111,2022-05-26,forecast_adjusted,FP&A,Northeast,ENT19456,617.09,-3336.29,Low,0.4,Completed
EVT0000112,2022-05-26,invoice_processed,Finance,Southeast,ENT40504,885.76,70195.55,Low,0.7,Completed
EVT0000113,2022-05-26,work_order_completed,Operations,Northeast,ENT91304,26498.73,0,Medium,7.5,Completed
EVT0000114,2022-05-26,work_order_completed,Operations,Central,ENT65958,29335.14,0,Medium,5.1,Open
EVT0000115,2022-05-26,work_order_completed,Operations,Central,ENT24446,816.39,0,Medium,6.2,Completed
EVT0000116,2022-05-26,work_order_completed,Operations,Southeast,ENT52160,29015.83,0,High,8.8,Delayed
EVT0000117,2022-05-26,work_order_completed,Operations,Southwest,ENT64065,24254.69,0,Medium,3.1,Delayed
EVT0000118,2022-05-26,invoice_processed,Finance,Southeast,ENT16529,1565.65,69223.91,Low,1.2,Completed
EVT0000119,2022-05-26,refund_issued,Finance,Northeast,ENT63986,5063.83,-16816.64,Low,2.6,Completed
EVT0000120,2022-05-27,invoice_processed,Finance,Central,ENT35839,480.01,8701.48,Low,1.0,Completed
EVT0000121,2022-05-27,refund_issued,Finance,Southeast,ENT66707,2211.39,-10055.67,Medium,5.7,Completed
EVT0000122,2022-05-27,refund_issued,Finance,Southeast,ENT20575,2051.84,-19744.23,Low,1.7,Completed
EVT0000123,2022-05-27,invoice_processed,Finance,Southwest,ENT13358,2256.26,25227.94,Low,0.3,Completed
EVT0000124,2022-05-27,vendor_onboarded,Vendor Governance,Northwest,ENT30132,11865.24,0,Low,1.1,Completed
EVT0000125,2022-05-27,asset_maintenance_completed,Asset Management,Northwest,ENT90900,25121.13,0,High,10.6,Open
EVT0000126,2022-05-27,invoice_processed,Finance,Southeast,ENT33333,1159.4,12961.41,Low,1.1,Completed
EVT0000127,2022-05-27,invoice_processed,Finance,Southeast,ENT88454,752.39,33992.73,Low,0.1,Reversed
EVT0000128,2022-05-27,refund_issued,Finance,Northwest,ENT62009,4202.48,-14152.29,Medium,5.1,Completed
EVT0000129,2022-05-28,invoice_processed,Finance,Central,ENT54758,2031.08,47400.59,Low,1.4,Completed
EVT0000130,2022-05-28,vendor_onboarded,Vendor Governance,Northeast,ENT91415,9623.19,0,Medium,4.4,Completed
EVT0000131,2022-05-28,work_order_completed,Operations,Southwest,ENT47397,26347.37,0,Medium,4.0,Completed
EVT0000132,2022-05-28,invoice_processed,Finance,Northwest,ENT45004,507.43,75756.2,Low,1.0,Completed
EVT0000133,2022-05-28,invoice_processed,Finance,Southeast,ENT52721,187.27,32886.47,Low,0.8,Completed
EVT0000134,2022-05-28,work_order_completed,Operations,Southeast,ENT98636,22926.17,0,Medium,7.1,Completed
EVT0000135,2022-05-28,invoice_processed,Finance,Northeast,ENT83552,587.49,35988.65,Low,1.4,Completed
EVT0000136,2022-05-28,refund_issued,Finance,Central,ENT97061,5644.49,-9696.5,Low,1.6,Completed
EVT0000137,2022-05-28,vendor_onboarded,Vendor Governance,Northwest,ENT17454,9566.15,0,Low,1.6,Completed
EVT0000138,2022-05-28,refund_issued,Finance,Southwest,ENT41129,1798.65,-1481.11,Low,2.1,Completed
EVT0000139,2022-05-28,work_order_completed,Operations,Northwest,ENT08681,6128.74,0,Medium,5.8,Delayed
EVT0000140,2022-05-28,work_order_completed,Operations,Northwest,ENT70258,21072.72,0,Medium,6.2,Completed
EVT0000141,2022-05-29,invoice_processed,Finance,Southwest,ENT56753,800.86,58746.78,Low,1.3,Completed
EVT0000142,2022-05-29,invoice_processed,Finance,Northeast,ENT97309,1873.33,24532.77,Low,0.5,Completed
EVT0000143,2022-05-29,invoice_processed,Finance,Northwest,ENT03099,2432.92,52541.1,Low,0.4,Completed
EVT0000144,2022-05-29,forecast_adjusted,FP&A,Northwest,ENT84378,897.72,-9771.08,Low,1.4,Completed
EVT0000145,2022-05-29,work_order_completed,Operations,Central,ENT68023,24192.04,0,Medium,6.9,Completed
EVT0000146,2022-05-29,work_order_completed,Operations,Northwest,ENT41377,24855.75,0,High,9.3,Delayed
EVT0000147,2022-05-29,work_order_completed,Operations,Southeast,ENT35894,4566.98,0,Medium,6.6,Completed
EVT0000148,2022-05-29,invoice_processed,Finance,Southeast,ENT72129,1279.72,42062.36,Low,0.9,Completed
EVT0000149,2022-05-29,invoice_processed,Finance,Northeast,ENT90424,2300.7,60242.89,Low,1.0,Completed
EVT0000150,2022-05-29,work_order_completed,Operations,Northwest,ENT05943,20316.78,0,Medium,4.9,Completed
EVT0000151,2022-05-29,vendor_onboarded,Vendor Governance,Southeast,ENT74490,1168.76,0,Low,3.8,Completed
EVT0000152,2022-05-29,vendor_onboarded,Vendor Governance,Southwest,ENT67940,9638.15,0,Medium,4.7,Completed
EVT0000153,2022-05-29,work_order_completed,Operations,Northwest,ENT40838,11011.06,0,Medium,5.9,Delayed
EVT0000154,2022-05-29,invoice_processed,Finance,Southwest,ENT85596,1137.09,28181.59,Low,1.1,Completed
EVT0000155,2022-05-29,refund_issued,Finance,Northeast,ENT05740,2981.55,-8080.98,Low,1.2,Completed
EVT0000156,2022-05-29,refund_issued,Finance,Central,ENT91435,4553.59,-12604.94,Low,3.5,Completed
EVT0000157,2022-05-30,forecast_adjusted,FP&A,Central,ENT34859,249.33,-7423.19,Low,0.7,Reversed
EVT0000158,2022-05-30,invoice_processed,Finance,Northwest,ENT51505,315.96,12912.69,Low,1.2,Completed
EVT0000159,2022-05-30,asset_maintenance_completed,Asset Management,Southeast,ENT69024,21543.91,0,Medium,1.1,Completed
EVT0000160,2022-05-30,invoice_processed,Finance,Northeast,ENT93810,1073.67,79547.02,Low,1.1,Completed
EVT0000161,2022-05-30,work_order_completed,Operations,Northeast,ENT44712,28273.31,0,Medium,2.3,Completed
EVT0000162,2022-05-30,invoice_processed,Finance,Central,ENT00904,260.74,9724.32,Low,1.2,Completed
EVT0000163,2022-05-30,invoice_processed,Finance,Northwest,ENT45105,1046.35,18478.78,Low,0.6,Completed
EVT0000164,2022-05-30,invoice_processed,Finance,Southwest,ENT80298,1804.18,33688.02,Low,1.5,Completed
EVT0000165,2022-05-30,refund_issued,Finance,Southwest,ENT49853,4465.06,-23970.8,Low,2.7,Completed
EVT0000166,2022-05-30,forecast_adjusted,FP&A,Southwest,ENT72853,669.02,-4746.62,Low,0.8,Completed
EVT0000167,2022-05-30,refund_issued,Finance,Central,ENT11269,3493.1,-18561.28,Low,0.8,Completed
EVT0000168,2022-05-30,invoice_processed,Finance,Southeast,ENT87291,311.61,42329.32,Low,1.4,Completed
EVT0000169,2022-05-30,work_order_completed,Operations,Southwest,ENT03385,24632.06,0,High,9.3,Completed
EVT0000170,2022-05-30,invoice_processed,Finance,Northeast,ENT50196,1502.85,51671.98,Low,1.3,Completed
EVT0000171,2022-05-30,refund_issued,Finance,Northwest,ENT52285,1553.03,-12427.7,Medium,4.7,Completed
EVT0000172,2022-05-30,forecast_adjusted,FP&A,Southwest,ENT24171,881.2,7442.63,Low,0.6,Completed
EVT0000173,2022-05-30,work_order_completed,Operations,Northwest,ENT46569,28893.09,0,Medium,4.2,Completed
EVT0000174,2022-05-30,invoice_processed,Finance,Southeast,ENT99112,1415.24,32057.68,Low,0.6,Completed
EVT0000175,2022-05-30,invoice_processed,Finance,Northeast,ENT48005,1253.35,11559.33,Low,0.2,Completed
EVT0000176,2022-05-30,invoice_processed,Finance,Southeast,ENT56552,784.09,8264.56,Low,0.9,Open
EVT0000177,2022-05-30,vendor_onboarded,Vendor Governance,Northwest,ENT61991,4296.5,0,Low,1.5,Completed
EVT0000178,2022-05-30,asset_maintenance_completed,Asset Management,Central,ENT05799,5173.43,0,High,11.9,Completed
EVT0000179,2022-05-30,invoice_processed,Finance,Southwest,ENT74515,2281.91,4003.47,Low,1.3,Reversed
EVT0000180,2022-05-31,work_order_completed,Operations,Northwest,ENT30916,4934.74,0,Medium,5.4,Completed
EVT0000181,2022-05-31,refund_issued,Finance,Central,ENT42608,1584.37,-16628.82,Medium,4.1,Open
EVT0000182,2022-05-31,work_order_completed,Operations,Southwest,ENT69677,16564.57,0,Medium,2.8,Completed
EVT0000183,2022-05-31,invoice_processed,Finance,Central,ENT51695,1205.49,29068.08,Low,1.0,Completed
EVT0000184,2022-05-31,work_order_completed,Operations,Northeast,ENT83925,12995.67,0,Medium,7.5,Completed
EVT0000185,2022-05-31,work_order_completed,Operations,Central,ENT02869,19708.82,0,Medium,5.1,Completed
EVT0000186,2022-05-31,refund_issued,Finance,Northwest,ENT64673,695.78,-2363.1,Medium,4.5,Completed
EVT0000187,2022-05-31,invoice_processed,Finance,Northwest,ENT02020,812.89,6042.42,Low,0.6,Completed
EVT0000188,2022-05-31,vendor_onboarded,Vendor Governance,Northwest,ENT06843,11877.37,0,Low,3.0,Completed
EVT0000189,2022-05-31,work_order_completed,Operations,Northeast,ENT08695,4561.26,0,Medium,5.9,Completed
EVT0000190,2022-05-31,work_order_completed,Operations,Central,ENT17962,1309.94,0,High,8.6,Reversed
EVT0000191,2022-05-31,invoice_processed,Finance,Southwest,ENT23964,985.67,72515.14,Low,1.2,Completed
EVT0000192,2022-05-31,work_order_completed,Operations,Southwest,ENT77703,13205.47,0,Medium,4.8,Completed
EVT0000193,2022-06-01,invoice_processed,Finance,Southwest,ENT62653,940.62,32327.62,Low,1.4,Completed
EVT0000194,2022-06-01,invoice_processed,Finance,Central,ENT45996,2030.45,82719.67,Low,1.5,Completed
EVT0000195,2022-06-01,work_order_completed,Operations,Central,ENT05151,19700.95,0,Medium,1.0,Reversed
EVT0000196,2022-06-01,asset_maintenance_completed,Asset Management,Southwest,ENT72721,19536.54,0,High,10.1,Open
EVT0000197,2022-06-01,invoice_processed,Finance,Northwest,ENT25556,1486.0,60537.47,Low,0.3,Completed
EVT0000198,2022-06-01,invoice_processed,Finance,Southeast,ENT17872,278.72,66933.04,Low,1.4,Completed
EVT0000199,2022-06-01,invoice_processed,Finance,Southwest,ENT75504,2177.4,38262.47,Low,1.1,Completed
EVT0000200,2022-06-01,invoice_processed,Finance,Southwest,ENT89539,1200.47,48575.22,Low,0.2,Completed
EVT0000201,2022-06-01,invoice_processed,Finance,Northwest,ENT57417,133.02,13937.83,Low,0.4,Completed
EVT0000202,2022-06-01,asset_maintenance_completed,Asset Management,Northwest,ENT85255,41001.08,0,Medium,5.0,Completed
EVT0000203,2022-06-01,asset_maintenance_completed,Asset Management,Southwest,ENT79025,35379.52,0,Medium,6.0,Completed
EVT0000204,2022-06-01,invoice_processed,Finance,Northeast,ENT62836,1374.84,19447.22,Low,0.3,Completed
EVT0000205,2022-06-01,invoice_processed,Finance,Southwest,ENT57179,1549.11,60484.31,Low,1.3,Completed
EVT0000206,2022-06-01,invoice_processed,Finance,Southeast,ENT79789,1308.58,55810.68,Low,1.3,Completed
EVT0000207,2022-06-01,asset_maintenance_completed,Asset Management,Southwest,ENT54952,2935.46,0,High,10.9,Completed
EVT0000208,2022-06-01,forecast_adjusted,FP&A,Northwest,ENT49265,397.58,-3736.03,Low,1.1,Completed
EVT0000209,2022-06-01,invoice_processed,Finance,Southwest,ENT96647,571.37,33874.55,Low,0.3,Completed
EVT0000210,2022-06-01,refund_issued,Finance,Central,ENT41017,2414.97,-13722.97,Medium,5.7,Completed
EVT0000211,2022-06-01,invoice_processed,Finance,Southwest,ENT91392,2197.01,63902.0,Low,0.1,Completed
EVT0000212,2022-06-01,vendor_onboarded,Vendor Governance,Central,ENT01103,9889.21,0,Low,1.5,Completed
EVT0000213,2022-06-01,invoice_processed,Finance,Southeast,ENT78793,517.88,54573.61,Low,0.7,Completed
EVT0000214,2022-06-02,invoice_processed,Finance,Southeast,ENT02371,1983.89,73511.86,Low,1.1,Delayed
EVT0000215,2022-06-02,forecast_adjusted,FP&A,Southeast,ENT98568,262.59,14.43,Low,1.0,Completed
EVT0000216,2022-06-02,invoice_processed,Finance,Northwest,ENT73592,1223.39,63366.59,Low,0.9,Completed
EVT0000217,2022-06-02,asset_maintenance_completed,Asset Management,Southeast,ENT70710,35726.35,0,Medium,5.6,Completed
EVT0000218,2022-06-02,refund_issued,Finance,Northeast,ENT45855,3494.22,-11736.96,Low,2.9,Open
EVT0000219,2022-06-02,work_order_completed,Operations,Northwest,ENT26955,16089.52,0,Medium,4.9,Completed
EVT0000220,2022-06-02,work_order_completed,Operations,Southeast,ENT21413,15059.05,0,Medium,6.2,Delayed
EVT0000221,2022-06-02,invoice_processed,Finance,Southwest,ENT06678,902.08,60556.19,Low,0.4,Completed
EVT0000222,2022-06-02,invoice_processed,Finance,Southeast,ENT84446,177.38,22439.44,Low,0.6,Completed
EVT0000223,2022-06-02,invoice_processed,Finance,Northeast,ENT00921,1978.73,15753.02,Low,1.3,Completed
EVT0000224,2022-06-02,forecast_adjusted,FP&A,Central,ENT47073,316.08,8390.1,Low,2.0,Completed
EVT0000225,2022-06-02,work_order_completed,Operations,Northwest,ENT72683,26203.27,0,Medium,6.5,Completed
EVT0000226,2022-06-02,work_order_completed,Operations,Northwest,ENT94862,27945.98,0,Medium,4.9,Completed
EVT0000227,2022-06-02,invoice_processed,Finance,Northeast,ENT21516,1589.03,16363.05,Low,1.2,Completed
EVT0000228,2022-06-02,invoice_processed,Finance,Northeast,ENT27835,114.95,83125.4,Low,0.6,Completed
EVT0000229,2022-06-02,refund_issued,Finance,Central,ENT78302,1622.74,-7852.65,Medium,5.0,Completed
EVT0000230,2022-06-03,work_order_completed,Operations,Central,ENT28625,23453.31,0,High,9.7,Completed
EVT0000231,2022-06-03,asset_maintenance_completed,Asset Management,Northeast,ENT02914,5679.12,0,High,8.2,Delayed
EVT0000232,2022-06-03,work_order_completed,Operations,Central,ENT09039,22579.98,0,High,9.8,Open
EVT0000233,2022-06-03,invoice_processed,Finance,Southeast,ENT25991,298.56,58124.05,Low,1.2,Completed
EVT0000234,2022-06-03,refund_issued,Finance,Southeast,ENT37086,2830.98,-10401.3,Low,3.1,Completed
EVT0000235,2022-06-03,refund_issued,Finance,Northwest,ENT98685,2513.68,-14497.22,Low,3.3,Completed
EVT0000236,2022-06-03,invoice_processed,Finance,Northwest,ENT26765,753.98,20030.86,Low,0.6,Completed
EVT0000237,2022-06-03,forecast_adjusted,FP&A,Central,ENT08671,468.01,-1326.73,Low,1.7,Delayed
EVT0000238,2022-06-03,invoice_processed,Finance,Southeast,ENT97151,2032.57,31280.16,Low,0.5,Completed
EVT0000239,2022-06-03,asset_maintenance_completed,Asset Management,Central,ENT25251,20358.68,0,Medium,1.0,Delayed
EVT0000240,2022-06-03,work_order_completed,Operations,Northwest,ENT17458,27157.51,0,Medium,5.9,Delayed
EVT0000241,2022-06-03,invoice_processed,Finance,Northwest,ENT22941,2346.93,58774.18,Low,1.2,Completed
EVT0000242,2022-06-03,work_order_completed,Operations,Southwest,ENT75462,16147.61,0,Medium,1.6,Completed
EVT0000243,2022-06-04,invoice_processed,Finance,Northwest,ENT59082,2152.4,44070.26,Low,0.3,Completed
EVT0000244,2022-06-04,work_order_completed,Operations,Southwest,ENT80766,13830.94,0,Medium,6.2,Completed
EVT0000245,2022-06-04,work_order_completed,Operations,Central,ENT27916,4336.0,0,Medium,5.3,Completed
