work_order_id,asset_id,employee_id,assigned_region,completion_status,response_time_hours,operational_cost,last_updated_date
WO00061,A0008,E0010,Northwest,In Progress,26.9,22656.33,2026-04-24
WO00062,A0028,E0003,Southwest,Closed,85.0,23279.18,2026-03-20
WO00063,A0004,E0013,Southeast,Complete,23.4,24864.5,2026-03-26
WO00064,A0015,E0001,Central,Open,80.7,16336.53,2026-01-31
WO00065,A0010,E0005,Northwest,Complete,88.2,11943.26,2026-01-26
WO00066,A0009,E0025,Northeast,Closed,59.5,22669.97,2026-05-10
WO00067,A0017,E0007,Southwest,Delayed,90.3,15319.78,2026-03-19
WO00068,A0008,E0025,Central,In Progress,29.6,1431.8,2026-03-20
WO00069,A0040,E0015,Northwest,Open,80.5,12620.77,2026-03-05
WO00070,A0002,E0021,Southeast,Delayed,24.0,3803.53,2026-03-19
WO00071,A0001,E0020,Central,In Progress,55.2,4886.02,2026-02-16
WO00072,A0006,E0017,Central,Open,91.6,13716.03,2026-02-01
WO00073,A0033,E0018,Northwest,Closed,84.0,1327.48,2026-03-24
WO00074,A0024,E0009,Northwest,Complete,75.9,8783.86,2026-02-08
WO00075,A0007,E0025,Southeast,Done,72.9,3551.89,2026-03-28
WO00076,A0035,E0011,Southwest,Done,45.1,17460.88,2026-02-21
WO00077,A0012,E0026,Southwest,Open,69.0,23604.23,2026-05-08
WO00078,A0019,E0007,Northwest,In Progress,85.2,8061.0,2026-04-03
WO00079,A0033,E0013,Southeast,Closed,25.1,18893.95,2026-04-18
WO00080,A0019,E0012,Northwest,Done,32.5,3330.76,2026-03-26
WO00081,A0028,E0029,Northeast,Done,42.8,23922.85,2026-03-30
WO00082,A0012,E0016,Northeast,Complete,88.8,13102.08,2026-01-30
WO00083,A0006,E0024,Northeast,Open,41.9,24878.68,2026-04-19
WO00084,A0035,E0010,Central,Open,8.6,16607.75,2026-04-03
WO00085,A0029,E0020,Northeast,In Progress,66.5,8950.79,2026-05-07
WO00086,A0023,E0020,Northeast,Complete,61.7,19839.08,2026-05-05
WO00087,A0005,E0022,Northeast,Complete,49.7,18809.98,2026-04-22
WO00088,A0002,E0005,Southeast,Done,75.2,1111.27,2026-05-04
WO00089,A0016,E0025,Central,Complete,37.4,14289.3,2026-02-24
WO00090,A0010,E0022,Northeast,Complete,36.3,19136.34,2026-02-28
WO00091,A0009,E0017,Central,Closed,30.9,7147.57,2026-04-28
WO00092,A0002,E0024,Southwest,Closed,50.2,22860.18,2026-04-27
WO00093,A0017,E0025,Central,Done,43.4,24910.04,2026-04-06
WO00094,A0032,E0007,Northwest,In Progress,82.0,11438.06,2026-01-17
WO00095,A0029,E0003,Central,Done,34.0,1857.24,2026-03-04
WO00096,A0019,E0029,Central,In Progress,68.6,23201.28,2026-02-20
WO00097,A0012,E0026,Central,Delayed,22.3,24632.03,2026-01-31
WO00098,A0009,E0008,Northeast,Open,35.3,14413.87,2026-03-14
WO00099,A0036,E0005,Southeast,Open,7.2,10104.46,2026-02-10
WO00100,A0031,E0017,Northeast,Closed,79.2,2075.33,2026-04-02
