invoice_id,vendor_id,invoice_type,invoice_date,amount,gl_account,payment_status,region
INV00062,V001,AP,2026-03-20,47100.87,5200,Paid,Southwest
INV00063,V004,AP,2025-12-22,6092.33,5000,,Northeast
INV00064,V008,AR,2026-05-04,17744.98,9999,Overdue,Northeast
INV00065,V002,AP,2026-03-06,59193.19,9999,Pending,Northeast
INV00066,V002,AP,2025-11-28,11599.71,5200,Pending,Northwest
INV00067,V001,AP,2026-02-23,44830.78,5400,Overdue,Northeast
INV00068,V002,AR,2025-11-17,23154.79,5300,Overdue,Southeast
INV00069,V009,AR,2026-01-20,6492.92,5000,,Central
INV00070,V005,AP,2026-04-19,17554.87,9999,Paid,Central
INV00071,V001,AP,2026-01-12,39162.81,5300,Overdue,Southwest
INV00072,V007,AR,2026-04-19,35515.77,5300,Overdue,Central
INV00073,V002,AP,2026-02-17,31167.56,5300,Overdue,Northeast
INV00074,V009,AP,2026-01-16,7060.45,5200,Overdue,Northwest
INV00020,V007,AP,2025-11-25,65267.88,5300,,Northwest
INV00076,V004,AR,2025-12-04,56855.01,9999,,Northwest
INV00077,V004,AR,2025-12-23,10260.49,5200,,Northeast
INV00078,V002,AP,2025-12-02,45860.94,5100,Pending,Central
INV00079,V009,AP,2025-12-22,30895.31,5100,Paid,Northeast
INV00080,V002,AP,2026-01-05,69982.65,5200,Overdue,Northeast
INV00081,V008,AR,2026-03-11,34530.59,5100,,Southwest
INV00082,V009,AP,2026-04-25,21080.43,5300,Overdue,Southeast
INV00083,V005,AP,2026-03-01,54590.8,5400,,Southwest
INV00084,V008,AR,2026-02-13,25266.78,5400,,Northeast
INV00085,V006,AP,2025-11-15,18291.01,5300,Pending,Northeast
INV00086,V001,AR,2026-01-11,53039.48,5300,,Southwest
INV00087,V008,AP,2026-04-10,37920.69,5400,Overdue,Northwest
INV00088,V008,AP,2025-12-29,68327.9,5000,Pending,Northeast
INV00089,V003,AP,2026-01-12,58723.63,5200,Overdue,Southeast
INV00090,V007,AP,2026-02-17,63999.43,5400,,Central
INV00091,V008,AP,2025-12-05,5597.35,9999,Overdue,Southwest
INV00092,V002,AR,2026-04-17,57147.54,9999,Paid,Northeast
INV00093,V003,AR,2026-05-05,3926.33,5000,Overdue,Central
INV00094,V006,AR,2026-04-05,18692.71,5300,Pending,Southwest
INV00095,V003,AP,2025-12-07,65377.55,5400,Pending,Northeast
INV00096,V003,AP,2026-01-14,48023.9,5300,Overdue,Northwest
INV00097,V008,AR,2025-11-20,41221.56,5000,,Central
INV00098,V005,AR,2025-11-17,19132.32,5200,Pending,Northeast
INV00099,V008,AP,2026-03-13,28911.64,5200,Overdue,Central
INV00100,V001,AR,2026-03-03,1103.3,9999,Paid,Southeast
INV00101,V008,AR,2026-03-15,45726.34,5200,Pending,Southwest
INV00102,V005,AP,2025-12-03,7738.71,9999,Paid,Central
INV00103,V008,AP,2025-12-15,27682.16,5100,Paid,Central
INV00104,V006,AR,2026-03-29,15459.21,5400,Overdue,Southeast
INV00105,V009,AR,2026-03-31,19644.27,5300,Overdue,Central
INV00106,V002,AR,2026-04-23,10986.4,5100,,Southeast
INV00107,V006,AP,2026-01-31,1536.94,5400,Paid,Northeast
INV00108,V006,AR,2025-12-14,28886.4,9999,Overdue,Northwest
INV00109,V004,AR,2026-05-06,46656.24,5400,Overdue,Southeast
INV00110,V004,AP,2025-12-01,61877.22,9999,Overdue,Northeast
INV00111,V002,AP,2026-05-01,70996.48,5200,,Northwest
INV00112,V002,AP,2025-12-26,10606.97,5300,Overdue,Southeast
INV00113,V007,AP,2026-01-26,49291.68,5300,,Central
INV00114,V001,AR,2026-03-18,33532.04,5100,Overdue,Northwest
INV00115,V006,AR,2026-04-27,30161.4,5100,Paid,Northeast
INV00116,V002,AP,2025-11-29,48142.22,5000,Paid,Central
INV00117,V004,AP,2025-12-19,15787.82,5400,Pending,Southeast
INV00118,V004,AP,2026-02-17,58190.46,5400,Paid,Central
INV00119,V003,AP,2025-12-25,19173.74,5100,Paid,Northwest
INV00120,V003,AP,2026-02-10,59353.86,5100,Overdue,Northwest
